"Realized Gain/Loss - Lot Details for ...844 as of Sat Oct 05  03:10:41 EDT 2024 from 01/01/2022 to 10/05/2024","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"GOOG 10/04/2024 160.00 P","PUT ALPHABET INC $160 EXP 10/04/24","10/04/2024","10/04/2024","1","$1.07","$0.07","$107.34","$6.66","$100.68","93.795416433762%","","$100.68","Short Term","$6.66","No","","10/03/2024","","","","","","",""
"NVDA 10/04/2024 115.00 P","PUT NVIDIA CORP $115 EXP 10/04/24","10/04/2024","10/04/2024","1","$0.69","$0.10","$69.34","$9.66","$59.68","86.068647245457%","","$59.68","Short Term","$9.66","No","","10/03/2024","","","","","","",""
"BABA1 03/21/2025 75.00 P","PUT ALIBABA GROUP HLDG LTD $75 EXP 03/21/25","10/01/2024","10/01/2024","2","$6.99","$1.06","$1,398.67","$211.32","$1,187.35","84.891361078739%","","$1,187.35","Short Term","$211.32","No","","09/30/2024","","","","","","",""
"TAL 01/17/2025 10.00 P","PUT TAL ED GROUP $10 EXP 01/17/25","10/01/2024","10/01/2024","1","$1.34","$0.66","$134.34","$65.66","$68.68","51.124013696591%","","$68.68","Short Term","$65.66","No","","09/30/2024","","","","","","",""
"TAL 01/17/2025 12.00 P","PUT TAL ED GROUP $12 EXP 01/17/25","10/01/2024","10/01/2024","1","$2.48","$1.37","$248.33","$136.66","$111.67","44.968388837434%","","$111.67","Short Term","$136.66","No","","09/30/2024","","","","","","",""
"TAL 01/17/2025 12.00 P","PUT TAL ED GROUP $12 EXP 01/17/25","10/01/2024","10/01/2024","2","$2.44","$1.37","$488.67","$273.32","$215.35","44.068594347924%","","$215.35","Short Term","$273.32","No","","09/30/2024","","","","","","",""
"GOOG 10/18/2024 140.00 C","CALL ALPHABET INC $140 EXP 10/18/24","09/30/2024","09/30/2024","1","$13.97","$26.10","$1,397.30","$2,609.66","-$1,212.36","-86.764474343377%","","-$1,212.36","Short Term","$2,609.66","No","","09/27/2024","","","","","","",""
"GOOG 10/18/2024 150.00 P","PUT ALPHABET INC $150 EXP 10/18/24","09/30/2024","09/30/2024","1","$0.65","$0.35","$65.34","$34.66","$30.68","46.954392408938%","","$30.68","Short Term","$34.66","No","","09/27/2024","","","","","","",""
"NVDA 10/11/2024 105.00 P","PUT NVIDIA CORP $105 EXP 10/11/24","09/30/2024","09/30/2024","1","$0.95","$0.38","$95.34","$37.66","$57.68","60.499265785609%","","$57.68","Short Term","$37.66","No","","09/27/2024","","","","","","",""
"NVDA 10/25/2024 100.00 P","PUT NVIDIA CORP $100 EXP 10/25/24","09/30/2024","09/30/2024","1","$1.87","$0.66","$187.33","$65.66","$121.67","64.949554262531%","","$121.67","Short Term","$65.66","No","","09/27/2024","","","","","","",""
